Pressure(Pa),Temperature(K),H2S_mole_frac,CO2_mole_frac,H2S_uptake,CO2_uptake,H2S_Error,CO2_Error
1000000.09,280.,0.02,0.98,41.9350873408,658.9943243149,3.1291099281,6.0478848847
1000000.09,280.,0.116,0.884,199.6304766402,492.2706515213,7.4692804770,10.4076584284
1000000.09,280.,0.212,0.788,320.0147795985,359.8382152068,6.8934486310,5.2218007621
1000000.09,280.,0.308,0.692,416.5894158229,251.7312674097,11.1503508885,11.5502132782
1000000.09,280.,0.404,0.596,482.1930053101,179.3915557146,10.4765711480,9.3551578309
1000000.09,280.,0.5,0.5,526.7398131845,128.4862536229,6.1856712000,5.0310530663
1000000.09,280.,0.596,0.404,559.2470173193,91.1108116853,3.1088627003,4.9459561023
1000000.09,280.,0.692,0.308,584.6775120967,63.4077908578,4.6647535738,3.8776737827
1000000.09,280.,0.788,0.212,602.9625070084,40.1202211291,2.6622358258,3.5222919401
1000000.09,280.,0.884,0.116,620.8712269743,20.0651569502,4.1360938013,2.0003809597
1000000.09,280.,0.98,0.02,633.4244758779,3.7016830312,4.6274389853,0.4373522553
1000000.09,300.,0.02,0.98,30.5136847165,580.6182260639,1.7662311279,4.6439193110
1000000.09,300.,0.116,0.884,157.6195721815,460.6880057380,5.5104181319,6.8822548600
1000000.09,300.,0.212,0.788,264.7077730660,354.5509668812,6.5271886235,6.0054754997
1000000.09,300.,0.308,0.692,356.2190343905,264.4035147723,6.4980538078,7.3138452821
1000000.09,300.,0.404,0.596,424.1417563863,193.9113257986,5.1347901040,4.6878337910
1000000.09,300.,0.5,0.5,478.6006511364,138.7765160093,5.3024247203,3.7242762002
1000000.09,300.,0.596,0.404,520.5273065456,96.1190994465,4.1008854030,3.4277086718
1000000.09,300.,0.692,0.308,549.1974196932,64.5234512640,5.7053306808,3.7739289941
1000000.09,300.,0.788,0.212,573.9195619537,38.8328926833,3.8233767370,1.7259930120
1000000.09,300.,0.884,0.116,592.7550214638,20.0454260368,5.9432155440,1.3005211103
1000000.09,300.,0.98,0.02,606.6227382311,3.2346877708,3.4125150637,0.5451055486
